,country,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
71,Panama,337045.0,0.0,0.0,19616.0,7.819999999999999,0.0,0.0
72,Peru,689103.0,689103.0,0.0,147141.0,2.0900000000000003,2.0900000000000003,0.0
73,Poland,45633482.0,35749542.0,9883940.0,2264640.0,120.58,94.47000000000001,26.109999999999996
74,Portugal,9760482.0,5735325.0,2360048.0,556818.0,95.69999999999999,56.23,23.150000000000006
75,Qatar,50000.0,0.0,0.0,49987.0,1.74,0.0,0.0
76,Romania,27145345.0,20595099.0,6550247.0,1201232.0,141.08,107.03,34.05
77,Russia,5780500.0,4080500.0,1700000.0,3570847.0,3.9699999999999998,2.81,1.16
78,Saint Helena,107.0,0.0,0.0,0.0,1.76,0.0,0.0
79,Saudi Arabia,3843070.0,0.0,0.0,437628.0,11.04,0.0,0.0
80,Scotland,26730749.0,26368906.0,361843.0,1303651.0,489.27000000000004,482.65000000000003,6.600000000000001
81,Serbia,9760497.0,8710195.0,1050302.0,1324176.0,143.45,128.02999999999997,15.43
82,Seychelles,769408.0,664625.0,104783.0,58473.0,782.39,675.8299999999999,106.55000000000001
83,Singapore,774700.0,762600.0,12100.0,236505.0,13.25,13.04,0.2
84,Slovakia,6915768.0,5913686.0,1002082.0,329870.0,126.67999999999999,108.31000000000002,18.35
85,Slovenia,3338093.0,2386415.0,951678.0,121090.0,160.54000000000005,114.75000000000004,45.8
86,South Africa,8784.0,8784.0,8784.0,4435.0,0.01,0.01,0.01
87,Spain,49287647.0,35707921.0,13579726.0,2717091.0,105.38000000000001,76.36,29.03
88,Sri Lanka,3362162.0,0.0,0.0,250400.0,15.700000000000001,0.0,0.0
89,Sweden,3761844.0,2869045.0,892799.0,520025.0,37.25,28.419999999999998,8.83
90,Switzerland,9438953.0,1791236.0,443699.0,353105.0,109.03,20.69,5.13
91,Turkey,86970177.0,32140355.0,5092403.0,5567218.0,103.13,38.11,6.04
92,Turks and Caicos Islands,6433.0,6433.0,0.0,6438.0,16.62,16.62,0.0
93,United Arab Emirates,130669415.0,836568.0,250000.0,4497815.0,1321.1699999999998,8.46,2.53
94,United Kingdom,381706042.0,362088374.0,19617668.0,16396466.0,562.2700000000001,533.3499999999999,28.889999999999997
95,United States,1198286137.0,934004135.0,243398388.0,55047439.0,358.28999999999996,279.3,72.76000000000002
96,Wales,16840611.0,16724746.0,115865.0,805670.0,534.0999999999999,530.4599999999999,3.6499999999999995
