country,new_cases,new_deaths,total_cases,total_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,population,population_density,gdp_per_capita,hospital_beds_per_thousand
Lithuania,16.0,0.0,65,0.0,3899023.0,2865251.0,1033772.0,170106.0,143.21,105.23000000000002,37.97,2722291.0,45.135,29524.265,6.56
Luxembourg,80.0,0.0,250,4.0,374597.0,303606.0,70991.0,23726.0,59.87,48.50000000000001,11.349999999999998,625976.0,231.447,94277.965,4.51
Malta,27.0,0.0,104,0.0,1089149.0,853095.0,236054.0,45908.0,246.66999999999996,193.18999999999997,53.44,441539.0,1454.037,36513.323,4.485
Mexico,51.0,0.0,258,0.0,25888344.0,22600528.0,1969761.0,1013383.0,20.07,17.53,1.5400000000000007,128932753.0,66.444,17336.469,1.38
Morocco,37.0,1.0,119,8.0,17760646.0,2357283.0,4867.0,2027326.0,48.12,6.39,0.01,36910558.0,80.08,7485.013,1.1
Nepal,0.0,0.0,53,0.0,271662.0,0.0,0.0,166539.0,0.93,0.0,0.0,29136808.0,204.43,2442.804,0.3
Netherlands,1412.0,23.0,6901,88.0,10393042.0,0.0,0.0,500031.0,60.68000000000001,0.0,0.0,17134873.0,508.544,48472.545,3.32
Norway,1168.0,2.0,6023,7.0,6280409.0,5154363.0,1126046.0,324141.0,115.83000000000001,95.07999999999998,20.78,5421242.0,14.462,64800.057,3.6
Oman,22.0,0.0,288,0.0,1578180.0,1345787.0,232393.0,116930.0,30.909999999999997,26.410000000000004,4.530000000000001,5106622.0,14.98,37960.709,1.6
Pakistan,185.0,0.0,409,0.0,79996.0,79996.0,0.0,52040.0,0.03,0.03,0.0,220892331.0,255.573,5034.708,0.6
Panama,68.0,0.0,199,7.0,337045.0,0.0,0.0,19616.0,7.819999999999999,0.0,0.0,4314768.0,55.133,22267.037,2.3
Peru,85.0,0.0,300,0.0,689103.0,689103.0,0.0,147141.0,2.0900000000000003,2.0900000000000003,0.0,32971846.0,25.129,12236.706,1.6
Poland,149.0,2.0,631,11.0,45633482.0,35749542.0,9883940.0,2264640.0,120.58,94.47000000000001,26.109999999999996,37846605.0,124.027,27216.445,6.62
Portugal,329.0,0.0,1037,0.0,9760482.0,5735325.0,2360048.0,556818.0,95.69999999999999,56.23,23.150000000000006,10196707.0,112.371,27936.896,3.39
Qatar,438.0,0.0,2078,0.0,50000.0,0.0,0.0,49987.0,1.74,0.0,0.0,2881060.0,227.322,116935.6,1.2
Romania,157.0,0.0,702,0.0,27145345.0,20595099.0,6550247.0,1201232.0,141.08,107.03,34.05,19237682.0,85.129,23313.199,6.892
Russia,91.0,0.0,388,0.0,5780500.0,4080500.0,1700000.0,3570847.0,3.9699999999999998,2.81,1.16,145934460.0,8.823,24765.954,8.05
Saudi Arabia,132.0,0.0,524,0.0,3843070.0,0.0,0.0,437628.0,11.04,0.0,0.0,34813867.0,15.322,49045.411,2.7
Serbia,69.0,0.0,238,0.0,9760497.0,8710195.0,1050302.0,1324176.0,143.45,128.02999999999997,15.43,6804596.0,80.291,14048.881,5.609
Seychelles,2.0,0.0,6,0.0,769408.0,664625.0,104783.0,58473.0,782.39,675.8299999999999,106.55000000000001,98340.0,208.354,26382.287,3.6
