country,new_cases,new_deaths,total_cases,total_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
India,136.0,2.0,961,10.0,162780794.0,0.0,0.0,9701503.0,11.790000000000001,0.0,0.0
Indonesia,170.0,4.0,613,19.0,22653147.0,16843928.0,4812330.0,1634104.0,8.29,6.17,1.77
Iran,14989.0,851.0,118358,5171.0,13000.0,13000.0,0.0,13385.0,0.01,0.01,0.0
Ireland,222.0,1.0,861,9.0,3719324.0,2157414.0,1064593.0,271304.0,75.33999999999999,43.699999999999996,21.56
Israel,249.0,0.0,1158,0.0,206430691.0,143514170.0,62916521.0,6835003.0,2384.970000000001,1658.1099999999997,726.88
Italy,27978.0,2501.0,173393,11277.0,84684863.0,59452708.0,25232155.0,3165546.0,140.07999999999998,98.32000000000001,41.71
Japan,828.0,27.0,10770,229.0,5775.0,5775.0,0.0,2943.0,0.0,0.0,0.0
Jersey,0.0,0.0,10,0.0,73182.0,60566.0,12616.0,13923.0,72.4,59.93,12.48
Kuwait,127.0,0.0,1415,0.0,174500.0,0.0,0.0,122572.0,4.09,0.0,0.0
Latvia,35.0,0.0,168,0.0,877549.0,715347.0,316913.0,23133.0,46.529999999999994,37.95,16.809999999999995
Liechtenstein,6.0,0.0,34,0.0,4520.0,0.0,0.0,473.0,11.84,0.0,0.0
Lithuania,16.0,0.0,65,0.0,3899023.0,2865251.0,1033772.0,170106.0,143.21,105.23000000000002,37.97
Luxembourg,80.0,0.0,250,4.0,374597.0,303606.0,70991.0,23726.0,59.87,48.50000000000001,11.349999999999998
Maldives,11.0,0.0,79,0.0,294138.0,0.0,0.0,36688.0,54.41,0.0,0.0
Malta,27.0,0.0,104,0.0,1089149.0,853095.0,236054.0,45908.0,246.66999999999996,193.18999999999997,53.44
Mexico,51.0,0.0,258,0.0,25888344.0,22600528.0,1969761.0,1013383.0,20.07,17.53,1.5400000000000007
Monaco,8.0,0.0,35,0.0,2400.0,0.0,0.0,2394.0,6.12,0.0,0.0
Morocco,37.0,1.0,119,8.0,17760646.0,2357283.0,4867.0,2027326.0,48.12,6.39,0.01
Nepal,0.0,0.0,53,0.0,271662.0,0.0,0.0,166539.0,0.93,0.0,0.0
Netherlands,1412.0,23.0,6901,88.0,10393042.0,0.0,0.0,500031.0,60.68000000000001,0.0,0.0
Norway,1168.0,2.0,6023,7.0,6280409.0,5154363.0,1126046.0,324141.0,115.83000000000001,95.07999999999998,20.78
Oman,22.0,0.0,288,0.0,1578180.0,1345787.0,232393.0,116930.0,30.909999999999997,26.410000000000004,4.530000000000001
Pakistan,185.0,0.0,409,0.0,79996.0,79996.0,0.0,52040.0,0.03,0.03,0.0
Panama,68.0,0.0,199,7.0,337045.0,0.0,0.0,19616.0,7.819999999999999,0.0,0.0
Peru,85.0,0.0,300,0.0,689103.0,689103.0,0.0,147141.0,2.0900000000000003,2.0900000000000003,0.0
Poland,149.0,2.0,631,11.0,45633482.0,35749542.0,9883940.0,2264640.0,120.58,94.47000000000001,26.109999999999996
