,country,new_cases,new_deaths,total_cases,total_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
87,Lithuania,16,0,65,0,3899023,2865251,1033772,170106,143.21,105.23,37.97
88,Luxembourg,80,0,250,4,374597,303606,70991,23726,59.87,48.5,11.35
89,Macedonia,18,0,100,0,0,0,0,0,0,0,0
90,Malaysia,550,0,3102,0,0,0,0,0,0,0,0
91,Maldives,11,0,79,0,294138,0,0,36688,54.41,0,0
92,Malta,27,0,104,0,1089149,853095,236054,45908,246.67,193.19,53.44
93,Martinique,14,0,63,0,0,0,0,0,0,0,0
94,Mauritania,0,0,3,0,0,0,0,0,0,0,0
95,Mayotte,0,0,3,0,0,0,0,0,0,0,0
96,Mexico,51,0,258,0,25888344,22600528,1969761,1013383,20.07,17.53,1.54
97,Moldova,28,0,86,0,0,0,0,0,0,0,0
98,Monaco,8,0,35,0,2400,0,0,2394,6.12,0,0
99,Mongolia,3,0,11,0,0,0,0,0,0,0,0
100,Morocco,37,1,119,8,17760646,2357283,4867,2027326,48.12,6.39,0.01
101,Namibia,0,0,6,0,0,0,0,0,0,0,0
102,Nepal,0,0,53,0,271662,0,0,166539,0.93,0,0
103,Netherlands,1412,23,6901,88,10393042,0,0,500031,60.68,0,0
104,New Zealand,10,0,78,0,0,0,0,0,0,0,0
105,Nigeria,1,0,28,0,0,0,0,0,0,0,0
106,Norway,1168,2,6023,7,6280409,5154363,1126046,324141,115.83,95.08,20.78
107,Oman,22,0,288,0,1578180,1345787,232393,116930,30.91,26.41,4.53
108,Pakistan,185,0,409,0,79996,79996,0,52040,0.03,0.03,0
109,Palestine,35,0,329,0,0,0,0,0,0,0,0
110,Panama,68,0,199,7,337045,0,0,19616,7.82,0,0
111,Paraguay,8,0,46,0,0,0,0,0,0,0,0
112,Peru,85,0,300,0,689103,689103,0,147141,2.09,2.09,0
113,Philippines,186,11,813,75,0,0,0,0,0,0,0
114,Poland,149,2,631,11,45633482,35749542,9883940,2264640,120.58,94.47,26.11
115,Portugal,329,0,1037,0,9760482,5735325,2360048,556818,95.7,56.23,23.15
116,Puerto Rico,0,0,12,0,0,0,0,0,0,0,0
117,Qatar,438,0,2078,0,50000,0,0,49987,1.74,0,0
118,Reunion,6,0,32,0,0,0,0,0,0,0,0
119,Romania,157,0,702,0,27145345,20595099,6550247,1201232,141.08,107.03,34.05
120,Russia,91,0,388,0,5780500,4080500,1700000,3570847,3.97,2.81,1.16
121,Rwanda,2,0,12,0,0,0,0,0,0,0,0
122,Saint Barthlemy,2,0,17,0,0,0,0,0,0,0,0
123,Saint Lucia,1,0,3,0,0,0,0,0,0,0,0
124,Saint Martin (French part),0,0,26,0,0,0,0,0,0,0,0
125,Saint Vincent and the Grenadines,0,0,5,0,0,0,0,0,0,0,0
126,San Marino,101,8,734,31,0,0,0,0,0,0,0
127,Saudi Arabia,132,0,524,0,3843070,0,0,437628,11.04,0,0
128,Senegal,26,0,128,0,0,0,0,0,0,0,0
129,Serbia,69,0,238,0,9760497,8710195,1050302,1324176,143.45,128.03,15.43
130,Seychelles,2,0,6,0,769408,664625,104783,58473,782.39,675.83,106.55
131,Singapore,242,0,4450,0,774700,762600,12100,236505,13.25,13.04,0.2
132,Slovakia,71,0,261,0,6915768,5913686,1002082,329870,126.68,108.31,18.35
133,Slovenia,252,0,966,0,3338093,2386415,951678,121090,160.54,114.75,45.8
134,Somalia,0,0,1,0,0,0,0,0,0,0,0
135,South Africa,61,0,219,0,8784,8784,8784,4435,0.01,0.01,0.01
136,South Korea,8319,80,127369,952,0,0,0,0,0,0,0
137,Spain,9190,308,37011,1073,49287647,35707921,13579726,2717091,105.38,76.36,29.03
138,Sri Lanka,28,0,114,0,3362162,0,0,250400,15.7,0,0
139,Sudan,1,0,5,2,0,0,0,0,0,0,0
140,Suriname,0,0,2,0,0,0,0,0,0,0,0
141,Swaziland,0,0,3,0,0,0,0,0,0,0,0
142,Sweden,1058,0,6115,6,3761844,2869045,892799,520025,37.25,28.42,8.83
143,Switzerland,2199,13,10284,65,9438953,1791236,443699,353105,109.03,20.69,5.13
144,Tanzania,0,0,1,0,0,0,0,0,0,0,0
145,Thailand,145,0,2088,16,0,0,0,0,0,0,0
146,Togo,0,0,11,0,0,0,0,0,0,0,0
147,Trinidad and Tobago,4,0,9,0,0,0,0,0,0,0,0
148,Tunisia,19,0,99,0,0,0,0,0,0,0,0
149,Turkey,46,0,64,0,86970177,32140355,5092403,5567218,103.13,38.11,6.04
150,Ukraine,6,0,28,4,0,0,0,0,0,0,0
151,United Arab Emirates,94,0,1209,0,130669415,836568,250000,4497815,1321.17,8.46,2.53
