,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines
1282,Germany,DEU,2021-02-08,3426700.0,2365318.0,1061382.0,112698.0,4.09,2.82,1.27,1345.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1283,Germany,DEU,2021-02-09,3558029.0,2429397.0,1128632.0,113565.0,4.25,2.9,1.35,1355.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1284,Germany,DEU,2021-02-10,3703364.0,2502609.0,1200755.0,114569.0,4.42,2.99,1.43,1367.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1285,Germany,DEU,2021-02-11,3846331.0,2573416.0,1272915.0,115846.0,4.59,3.07,1.52,1383.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1286,Germany,DEU,2021-02-12,4002330.0,2652343.0,1349987.0,119476.0,4.78,3.17,1.61,1426.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1287,Germany,DEU,2021-02-13,4111095.0,2714926.0,1396169.0,120387.0,4.91,3.24,1.67,1437.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1288,Germany,DEU,2021-02-14,4177185.0,2754428.0,1422757.0,121384.0,4.99,3.29,1.7,1449.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1289,Germany,DEU,2021-02-15,4302356.0,2824703.0,1477653.0,125094.0,5.14,3.37,1.76,1493.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1290,Germany,DEU,2021-02-16,4436511.0,2904961.0,1531550.0,125497.0,5.3,3.47,1.83,1498.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1291,Germany,DEU,2021-02-17,4580772.0,2996285.0,1584487.0,125344.0,5.47,3.58,1.89,1496.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1292,Germany,DEU,2021-02-18,4719900.0,3085114.0,1634786.0,124796.0,5.63,3.68,1.95,1489.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1314,Gibraltar,GIB,2021-01-31,13286.0,12886.0,400.0,421.0,39.43,38.25,1.19,12496.0,Pfizer/BioNTech
1315,Gibraltar,GIB,2021-02-01,14299.0,12974.0,1325.0,537.0,42.44,38.51,3.93,15939.0,Pfizer/BioNTech
1316,Gibraltar,GIB,2021-02-02,15391.0,13071.0,2320.0,617.0,45.68,38.8,6.89,18313.0,Pfizer/BioNTech
1317,Gibraltar,GIB,2021-02-03,16177.0,13166.0,3011.0,653.0,48.02,39.08,8.94,19382.0,Pfizer/BioNTech
1318,Gibraltar,GIB,2021-02-04,17189.0,13246.0,3943.0,694.0,51.02,39.32,11.7,20599.0,Pfizer/BioNTech
1319,Gibraltar,GIB,2021-02-05,18274.0,13398.0,4876.0,773.0,54.24,39.77,14.47,22944.0,Pfizer/BioNTech
1320,Gibraltar,GIB,2021-02-06,19072.0,13499.0,5573.0,887.0,56.61,40.07,16.54,26328.0,Pfizer/BioNTech
1321,Gibraltar,GIB,2021-02-07,19072.0,13499.0,5573.0,827.0,56.61,40.07,16.54,24547.0,Pfizer/BioNTech
1322,Gibraltar,GIB,2021-02-08,20044.0,13904.0,6140.0,821.0,59.49,41.27,18.22,24369.0,Pfizer/BioNTech
1323,Gibraltar,GIB,2021-02-09,21021.0,14302.0,6719.0,804.0,62.39,42.45,19.94,23864.0,Pfizer/BioNTech
1324,Gibraltar,GIB,2021-02-10,21999.0,15262.0,6737.0,832.0,65.3,45.3,20.0,24695.0,Pfizer/BioNTech
1325,Gibraltar,GIB,2021-02-11,23103.0,15436.0,7667.0,845.0,68.57,45.82,22.76,25081.0,Pfizer/BioNTech
1326,Gibraltar,GIB,2021-02-12,24195.0,15600.0,8595.0,846.0,71.81,46.3,25.51,25111.0,Pfizer/BioNTech
1327,Gibraltar,GIB,2021-02-13,25287.0,15765.0,9522.0,888.0,75.06,46.79,28.26,26357.0,Pfizer/BioNTech
1328,Gibraltar,GIB,2021-02-14,25941.0,15888.0,10053.0,981.0,77.0,47.16,29.84,29118.0,Pfizer/BioNTech
1329,Gibraltar,GIB,2021-02-15,26379.0,16135.0,10244.0,905.0,78.3,47.89,30.41,26862.0,Pfizer/BioNTech
1330,Gibraltar,GIB,2021-02-16,27033.0,16261.0,10772.0,859.0,80.24,48.27,31.97,25496.0,Pfizer/BioNTech
1331,Gibraltar,GIB,2021-02-17,27687.0,16384.0,11303.0,813.0,82.18,48.63,33.55,24131.0,Pfizer/BioNTech
1332,Gibraltar,GIB,2021-02-18,28778.0,16725.0,12053.0,811.0,85.42,49.64,35.78,24072.0,Pfizer/BioNTech
1352,Greece,GRC,2021-01-16,80391.0,80389.0,2.0,5709.0,0.77,0.77,0.0,548.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1354,Greece,GRC,2021-01-18,85898.0,85475.0,423.0,5122.0,0.82,0.82,0.0,491.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1355,Greece,GRC,2021-01-19,94454.0,93382.0,1072.0,5426.0,0.91,0.9,0.01,521.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1356,Greece,GRC,2021-01-20,109831.0,108167.0,1664.0,6414.0,1.05,1.04,0.02,615.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1357,Greece,GRC,2021-01-21,125928.0,123667.0,2261.0,7853.0,1.21,1.19,0.02,753.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1358,Greece,GRC,2021-01-22,143877.0,141298.0,2579.0,9781.0,1.38,1.36,0.02,938.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1359,Greece,GRC,2021-01-23,160101.0,156966.0,3135.0,11387.0,1.54,1.51,0.03,1092.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1361,Greece,GRC,2021-01-25,179951.0,171890.0,8061.0,13436.0,1.73,1.65,0.08,1289.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1362,Greece,GRC,2021-01-26,197755.0,184610.0,13145.0,14757.0,1.9,1.77,0.13,1416.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1363,Greece,GRC,2021-01-27,216040.0,198161.0,17879.0,15173.0,2.07,1.9,0.17,1456.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1364,Greece,GRC,2021-01-28,234285.0,210488.0,23797.0,15480.0,2.25,2.02,0.23,1485.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1365,Greece,GRC,2021-01-29,253363.0,220621.0,32742.0,15641.0,2.43,2.12,0.31,1501.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1366,Greece,GRC,2021-01-30,271287.0,232399.0,38888.0,15884.0,2.6,2.23,0.37,1524.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1368,Greece,GRC,2021-02-01,293817.0,247251.0,46566.0,16267.0,2.82,2.37,0.45,1561.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1369,Greece,GRC,2021-02-02,315628.0,261543.0,54085.0,16839.0,3.03,2.51,0.52,1616.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1370,Greece,GRC,2021-02-03,338122.0,276103.0,62019.0,17440.0,3.24,2.65,0.6,1673.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1371,Greece,GRC,2021-02-04,359723.0,291259.0,68464.0,17920.0,3.45,2.79,0.66,1719.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1372,Greece,GRC,2021-02-05,380136.0,306441.0,73695.0,18110.0,3.65,2.94,0.71,1737.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1373,Greece,GRC,2021-02-06,397857.0,318097.0,79760.0,18081.0,3.82,3.05,0.77,1735.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1375,Greece,GRC,2021-02-08,417565.0,332812.0,84753.0,17678.0,4.01,3.19,0.81,1696.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1376,Greece,GRC,2021-02-09,437872.0,345290.0,92582.0,17463.0,4.2,3.31,0.89,1675.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1377,Greece,GRC,2021-02-10,459535.0,353412.0,106123.0,17345.0,4.41,3.39,1.02,1664.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1378,Greece,GRC,2021-02-11,482416.0,360800.0,121616.0,17528.0,4.63,3.46,1.17,1682.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1379,Greece,GRC,2021-02-12,506038.0,366749.0,139289.0,17986.0,4.85,3.52,1.34,1726.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1380,Greece,GRC,2021-02-13,526369.0,371462.0,154907.0,18359.0,5.05,3.56,1.49,1761.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1382,Greece,GRC,2021-02-15,554745.0,386049.0,168696.0,19597.0,5.32,3.7,1.62,1880.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1383,Greece,GRC,2021-02-16,575766.0,397840.0,177926.0,19699.0,5.52,3.82,1.71,1890.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1384,Greece,GRC,2021-02-17,603667.0,412970.0,190697.0,20590.0,5.79,3.96,1.83,1975.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1385,Greece,GRC,2021-02-18,634037.0,430124.0,203913.0,21660.0,6.08,4.13,1.96,2078.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1386,Greece,GRC,2021-02-19,664347.0,449073.0,215274.0,22616.0,6.37,4.31,2.07,2170.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1413,Guernsey,GGY,2021-02-18,15135.0,12045.0,3090.0,432.0,22.57,17.96,4.61,6443.0,Pfizer/BioNTech
1440,Hungary,HUN,2021-01-18,131332.0,129689.0,1643.0,7536.0,1.36,1.34,0.02,780.0,Pfizer/BioNTech
1441,Hungary,HUN,2021-01-19,133257.0,130318.0,2939.0,6618.0,1.38,1.35,0.03,685.0,Pfizer/BioNTech
1442,Hungary,HUN,2021-01-20,138584.0,134554.0,4030.0,6069.0,1.43,1.39,0.04,628.0,Pfizer/BioNTech
1443,Hungary,HUN,2021-01-21,144798.0,138983.0,5815.0,5581.0,1.5,1.44,0.06,578.0,Pfizer/BioNTech
1444,Hungary,HUN,2021-01-22,150128.0,143184.0,6944.0,5326.0,1.55,1.48,0.07,551.0,Pfizer/BioNTech
1445,Hungary,HUN,2021-01-23,153392.0,145257.0,8135.0,4778.0,1.59,1.5,0.08,495.0,Pfizer/BioNTech
1446,Hungary,HUN,2021-01-24,156098.0,146695.0,9403.0,4701.0,1.62,1.52,0.1,487.0,Pfizer/BioNTech
1447,Hungary,HUN,2021-01-25,162315.0,149676.0,12639.0,4426.0,1.68,1.55,0.13,458.0,Pfizer/BioNTech
1448,Hungary,HUN,2021-01-26,170476.0,152704.0,17772.0,5317.0,1.76,1.58,0.18,550.0,Pfizer/BioNTech
1449,Hungary,HUN,2021-01-27,187508.0,161215.0,26293.0,6989.0,1.94,1.67,0.27,723.0,Pfizer/BioNTech
1450,Hungary,HUN,2021-01-28,213010.0,175283.0,37727.0,9745.0,2.2,1.81,0.39,1009.0,Pfizer/BioNTech
1451,Hungary,HUN,2021-01-29,247889.0,198283.0,49606.0,13966.0,2.57,2.05,0.51,1446.0,Pfizer/BioNTech
1452,Hungary,HUN,2021-01-30,278830.0,222005.0,56825.0,17920.0,2.89,2.3,0.59,1855.0,Pfizer/BioNTech
1453,Hungary,HUN,2021-01-31,299138.0,237872.0,61266.0,20434.0,3.1,2.46,0.63,2115.0,Pfizer/BioNTech
1454,Hungary,HUN,2021-02-01,311662.0,243136.0,68526.0,21335.0,3.23,2.52,0.71,2209.0,Pfizer/BioNTech
1455,Hungary,HUN,2021-02-02,322306.0,247270.0,75036.0,21690.0,3.34,2.56,0.78,2245.0,Pfizer/BioNTech
1456,Hungary,HUN,2021-02-03,334130.0,249687.0,84452.0,20946.0,3.46,2.58,0.87,2168.0,Pfizer/BioNTech
1457,Hungary,HUN,2021-02-04,357303.0,264530.0,92773.0,20613.0,3.7,2.74,0.96,2134.0,Pfizer/BioNTech
1458,Hungary,HUN,2021-02-05,381062.0,279410.0,101652.0,19025.0,3.94,2.89,1.05,1969.0,Pfizer/BioNTech
1459,Hungary,HUN,2021-02-06,391621.0,286379.0,105242.0,16113.0,4.05,2.96,1.09,1668.0,Pfizer/BioNTech
1460,Hungary,HUN,2021-02-07,396634.0,289042.0,107592.0,13928.0,4.11,2.99,1.11,1442.0,Pfizer/BioNTech
1461,Hungary,HUN,2021-02-08,401791.0,291396.0,110395.0,12876.0,4.16,3.02,1.14,1333.0,Pfizer/BioNTech
1462,Hungary,HUN,2021-02-09,406197.0,292627.0,113570.0,11984.0,4.2,3.03,1.18,1241.0,Pfizer/BioNTech
1463,Hungary,HUN,2021-02-10,411992.0,294624.0,117368.0,11123.0,4.26,3.05,1.21,1151.0,Pfizer/BioNTech
1464,Hungary,HUN,2021-02-11,431097.0,310448.0,120649.0,10542.0,4.46,3.21,1.25,1091.0,Pfizer/BioNTech
1465,Hungary,HUN,2021-02-12,455168.0,330745.0,124423.0,10587.0,4.71,3.42,1.29,1096.0,Pfizer/BioNTech
1466,Hungary,HUN,2021-02-13,463383.0,335188.0,128195.0,10252.0,4.8,3.47,1.33,1061.0,Pfizer/BioNTech
1467,Hungary,HUN,2021-02-14,465636.0,336297.0,129339.0,9857.0,4.82,3.48,1.34,1020.0,Pfizer/BioNTech
1468,Hungary,HUN,2021-02-15,473551.0,341958.0,131593.0,10251.0,4.9,3.54,1.36,1061.0,Pfizer/BioNTech
1469,Hungary,HUN,2021-02-16,483751.0,348927.0,134824.0,11079.0,5.01,3.61,1.4,1147.0,Pfizer/BioNTech
1470,Hungary,HUN,2021-02-17,506044.0,365021.0,141023.0,13436.0,5.24,3.78,1.46,1391.0,Pfizer/BioNTech
1471,Hungary,HUN,2021-02-18,544253.0,391821.0,152432.0,16165.0,5.63,4.06,1.58,1673.0,Pfizer/BioNTech
1493,Iceland,ISL,2021-01-20,6205.0,5725.0,480.0,63.0,1.82,1.68,0.14,185.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1498,Iceland,ISL,2021-01-25,15220.0,10433.0,4787.0,1306.0,4.46,3.06,1.4,3827.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1500,Iceland,ISL,2021-01-27,15522.0,10702.0,4820.0,1331.0,4.55,3.14,1.41,3900.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1507,Iceland,ISL,2021-02-03,16951.0,12098.0,4853.0,204.0,4.97,3.55,1.42,598.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1509,Iceland,ISL,2021-02-05,17515.0,12660.0,4855.0,226.0,5.13,3.71,1.42,662.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1512,Iceland,ISL,2021-02-08,17657.0,12801.0,4856.0,159.0,5.17,3.75,1.42,466.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1516,Iceland,ISL,2021-02-12,19624.0,14086.0,5538.0,301.0,5.75,4.13,1.62,882.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1519,Iceland,ISL,2021-02-15,19844.0,14087.0,5757.0,312.0,5.82,4.13,1.69,914.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1520,Iceland,ISL,2021-02-16,20031.0,14087.0,5944.0,269.0,5.87,4.13,1.74,788.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1521,Iceland,ISL,2021-02-17,21569.0,14188.0,7381.0,418.0,6.32,4.16,2.16,1225.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1522,Iceland,ISL,2021-02-18,24853.0,15195.0,9658.0,817.0,7.28,4.45,2.83,2394.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1523,Iceland,ISL,2021-02-19,25718.0,15644.0,10074.0,871.0,7.54,4.58,2.95,2552.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1576,Indonesia,IDN,2021-01-28,373786.0,368318.0,5468.0,36427.0,0.14,0.13,0.0,133.0,Sinovac
1577,Indonesia,IDN,2021-01-29,416299.0,405012.0,11287.0,40614.0,0.15,0.15,0.0,148.0,Sinovac
1578,Indonesia,IDN,2021-01-30,502955.0,482145.0,20810.0,51762.0,0.18,0.18,0.01,189.0,Sinovac
1579,Indonesia,IDN,2021-01-31,515681.0,493133.0,22548.0,52348.0,0.19,0.18,0.01,191.0,Sinovac
1580,Indonesia,IDN,2021-02-01,574938.0,539532.0,35406.0,58997.0,0.21,0.2,0.01,216.0,Sinovac
1581,Indonesia,IDN,2021-02-02,648259.0,596260.0,51999.0,57511.0,0.24,0.22,0.02,210.0,Sinovac
1582,Indonesia,IDN,2021-02-03,717647.0,646026.0,71621.0,58521.0,0.26,0.24,0.03,214.0,Sinovac
1583,Indonesia,IDN,2021-02-04,796819.0,700266.0,96553.0,60433.0,0.29,0.26,0.04,221.0,Sinovac
1584,Indonesia,IDN,2021-02-05,865609.0,744884.0,120725.0,64187.0,0.32,0.27,0.04,235.0,Sinovac
1585,Indonesia,IDN,2021-02-06,914303.0,777096.0,137207.0,58764.0,0.33,0.28,0.05,215.0,Sinovac
1586,Indonesia,IDN,2021-02-07,923449.0,784318.0,139131.0,58253.0,0.34,0.29,0.05,213.0,Sinovac
1587,Indonesia,IDN,2021-02-08,985855.0,814585.0,171270.0,58702.0,0.36,0.3,0.06,215.0,Sinovac
1588,Indonesia,IDN,2021-02-09,1066860.0,845407.0,221453.0,59800.0,0.39,0.31,0.08,219.0,Sinovac
1589,Indonesia,IDN,2021-02-10,1248797.0,969546.0,279251.0,75879.0,0.46,0.35,0.1,277.0,Sinovac
1590,Indonesia,IDN,2021-02-11,1362791.0,1017186.0,345605.0,80853.0,0.5,0.37,0.13,296.0,Sinovac
1592,Indonesia,IDN,2021-02-13,1475812.0,1060326.0,415486.0,80216.0,0.54,0.39,0.15,293.0,Sinovac
1593,Indonesia,IDN,2021-02-14,1494325.0,1068747.0,425578.0,81554.0,0.55,0.39,0.16,298.0,Sinovac
1594,Indonesia,IDN,2021-02-15,1578720.0,1096095.0,482625.0,84695.0,0.58,0.4,0.18,310.0,Sinovac
1595,Indonesia,IDN,2021-02-16,1658110.0,1120963.0,537147.0,84464.0,0.61,0.41,0.2,309.0,Sinovac
1596,Indonesia,IDN,2021-02-17,1747267.0,1149939.0,597328.0,71210.0,0.64,0.42,0.22,260.0,Sinovac
1597,Indonesia,IDN,2021-02-18,1787976.0,1164144.0,623832.0,60741.0,0.65,0.43,0.23,222.0,Sinovac
1635,Ireland,IRL,2021-01-27,161500.0,147700.0,13800.0,5657.0,3.27,2.99,0.28,1146.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1639,Ireland,IRL,2021-01-31,199800.0,150500.0,49300.0,8114.0,4.05,3.05,1.0,1643.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1644,Ireland,IRL,2021-02-05,230766.0,151212.0,79554.0,7159.0,4.67,3.06,1.61,1450.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1646,Ireland,IRL,2021-02-07,240487.0,153654.0,86833.0,5812.0,4.87,3.11,1.76,1177.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1647,Ireland,IRL,2021-02-08,243353.0,154900.0,88453.0,5337.0,4.93,3.14,1.79,1081.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1648,Ireland,IRL,2021-02-09,248284.0,158904.0,89380.0,5157.0,5.03,3.22,1.81,1044.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1649,Ireland,IRL,2021-02-10,256681.0,166863.0,89818.0,5472.0,5.2,3.38,1.82,1108.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1650,Ireland,IRL,2021-02-11,261073.0,171239.0,89834.0,5214.0,5.29,3.47,1.82,1056.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1651,Ireland,IRL,2021-02-12,265237.0,175238.0,89999.0,4924.0,5.37,3.55,1.82,997.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1652,Ireland,IRL,2021-02-13,268551.0,176926.0,91625.0,4704.0,5.44,3.58,1.86,953.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1653,Ireland,IRL,2021-02-14,271942.0,180192.0,91750.0,4494.0,5.51,3.65,1.86,910.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1654,Ireland,IRL,2021-02-15,280581.0,182193.0,98388.0,5318.0,5.68,3.69,1.99,1077.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1655,Ireland,IRL,2021-02-16,293752.0,187893.0,105859.0,6495.0,5.95,3.81,2.14,1315.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
1660,Isle of Man,IMN,2021-01-25,4209.0,3897.0,312.0,163.0,4.95,4.58,0.37,1917.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
1661,Isle of Man,IMN,2021-01-26,4886.0,4247.0,639.0,266.0,5.75,4.99,0.75,3128.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
1662,Isle of Man,IMN,2021-01-27,5587.0,4550.0,1037.0,338.0,6.57,5.35,1.22,3975.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
1663,Isle of Man,IMN,2021-01-28,6281.0,5243.0,1038.0,389.0,7.39,6.17,1.22,4575.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
1664,Isle of Man,IMN,2021-01-29,6859.0,5829.0,1030.0,459.0,8.07,6.86,1.21,5398.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
1668,Isle of Man,IMN,2021-02-02,8302.0,6883.0,1419.0,488.0,9.76,8.09,1.67,5739.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
1669,Isle of Man,IMN,2021-02-03,9563.0,7387.0,2176.0,568.0,11.25,8.69,2.56,6680.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
1670,Isle of Man,IMN,2021-02-04,10213.0,8030.0,2183.0,562.0,12.01,9.44,2.57,6609.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
1671,Isle of Man,IMN,2021-02-05,10224.0,8041.0,2183.0,481.0,12.02,9.46,2.57,5657.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
1672,Isle of Man,IMN,2021-02-06,10852.0,8669.0,2183.0,519.0,12.76,10.19,2.57,6104.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
1673,Isle of Man,IMN,2021-02-07,11247.0,9063.0,2184.0,524.0,13.23,10.66,2.57,6162.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
1674,Isle of Man,IMN,2021-02-08,11654.0,9466.0,2188.0,530.0,13.71,11.13,2.57,6233.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
1675,Isle of Man,IMN,2021-02-09,12026.0,9469.0,2557.0,532.0,14.14,11.14,3.01,6256.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
1676,Isle of Man,IMN,2021-02-10,12441.0,9485.0,2956.0,411.0,14.63,11.15,3.48,4833.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
1677,Isle of Man,IMN,2021-02-11,12816.0,9488.0,3328.0,372.0,15.07,11.16,3.91,4375.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
1678,Isle of Man,IMN,2021-02-12,12817.0,9489.0,3328.0,370.0,15.07,11.16,3.91,4351.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
1679,Isle of Man,IMN,2021-02-13,13497.0,10170.0,3327.0,378.0,15.87,11.96,3.91,4445.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
1680,Isle of Man,IMN,2021-02-14,13733.0,10405.0,3328.0,355.0,16.15,12.24,3.91,4175.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
1682,Isle of Man,IMN,2021-02-16,14272.0,10678.0,3594.0,321.0,16.78,12.56,4.23,3775.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
1683,Isle of Man,IMN,2021-02-17,14806.0,10949.0,3857.0,338.0,17.41,12.88,4.54,3975.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
1684,Isle of Man,IMN,2021-02-18,15294.0,11184.0,4110.0,354.0,17.99,13.15,4.83,4163.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
1685,Isle of Man,IMN,2021-02-19,17150.0,12467.0,4683.0,619.0,20.17,14.66,5.51,7280.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
1702,Israel,ISR,2021-01-04,1444919.0,1444917.0,2.0,131313.0,16.69,16.69,0.0,15171.0,"Moderna, Pfizer/BioNTech"
1703,Israel,ISR,2021-01-05,1571566.0,1571564.0,2.0,126936.0,18.16,18.16,0.0,14665.0,"Moderna, Pfizer/BioNTech"
1704,Israel,ISR,2021-01-06,1676272.0,1676270.0,2.0,119868.0,19.37,19.37,0.0,13849.0,"Moderna, Pfizer/BioNTech"
1705,Israel,ISR,2021-01-07,1793635.0,1793630.0,5.0,113849.0,20.72,20.72,0.0,13153.0,"Moderna, Pfizer/BioNTech"
1706,Israel,ISR,2021-01-08,1860750.0,1860742.0,8.0,113140.0,21.5,21.5,0.0,13071.0,"Moderna, Pfizer/BioNTech"
1707,Israel,ISR,2021-01-09,1905746.0,1905718.0,28.0,109232.0,22.02,22.02,0.0,12620.0,"Moderna, Pfizer/BioNTech"
1708,Israel,ISR,2021-01-10,1949843.0,1943837.0,6006.0,93976.0,22.53,22.46,0.07,10857.0,"Moderna, Pfizer/BioNTech"
1709,Israel,ISR,2021-01-11,1990487.0,1965265.0,25222.0,77938.0,23.0,22.71,0.29,9004.0,"Moderna, Pfizer/BioNTech"
1710,Israel,ISR,2021-01-12,2050354.0,1989536.0,60818.0,68398.0,23.69,22.99,0.7,7902.0,"Moderna, Pfizer/BioNTech"
1711,Israel,ISR,2021-01-13,2159449.0,2041824.0,117625.0,69025.0,24.95,23.59,1.36,7975.0,"Moderna, Pfizer/BioNTech"
1712,Israel,ISR,2021-01-14,2284862.0,2098424.0,186438.0,70175.0,26.4,24.24,2.15,8108.0,"Moderna, Pfizer/BioNTech"
1713,Israel,ISR,2021-01-15,2351967.0,2129430.0,222537.0,70174.0,27.17,24.6,2.57,8107.0,"Moderna, Pfizer/BioNTech"
1714,Israel,ISR,2021-01-16,2407834.0,2159143.0,248691.0,71727.0,27.82,24.95,2.87,8287.0,"Moderna, Pfizer/BioNTech"
1715,Israel,ISR,2021-01-17,2560704.0,2227530.0,333174.0,87266.0,29.58,25.74,3.85,10082.0,"Moderna, Pfizer/BioNTech"
1716,Israel,ISR,2021-01-18,2750089.0,2297057.0,453032.0,108515.0,31.77,26.54,5.23,12537.0,"Moderna, Pfizer/BioNTech"
1717,Israel,ISR,2021-01-19,2959953.0,2369744.0,590209.0,129943.0,34.2,27.38,6.82,15013.0,"Moderna, Pfizer/BioNTech"
1718,Israel,ISR,2021-01-20,3179462.0,2446252.0,733210.0,145716.0,36.73,28.26,8.47,16835.0,"Moderna, Pfizer/BioNTech"
1719,Israel,ISR,2021-01-21,3412466.0,2515834.0,896632.0,161086.0,39.43,29.07,10.36,18611.0,"Moderna, Pfizer/BioNTech"
